,Project ID,name,long,lat,First Year of Project,Type,Country
938,237445,Sustainable Biomass based thermal energy generation VCS project of Talawakelle Tea Factories in Sri Lanka,80.6725,6.931944,,Biomass,Sri Lanka
941,237451,Garganta da Jararaca Small Hydroelectric Power Plant (SHP) - Atiaia Energia S.A. Project Activity,-57.616666,-13.383333,2006,Hydropower,Brazil
942,2372004,Ouarzazate II Concentrated Solar Power Project,-6.869983,31.036045,,Solar - Centralized,Morocco
943,237747,Sefakoy Hydroelectric Power Plant,43.109927,40.159649,,Hydropower,Turkey
945,237454,"Bundled grid-connected wind electricity generation project identified as Bundle E4 in Karnataka, India",76.117317,13.209517,,Wind,India
948,237130,"Arrozal, GGP and Sul America Ceramics Fuel Switching Project",-42.855831,-22.747499,2006,Biomass,Brazil
949,237134,"3.9 MW Bundled renewable energy project in Tamil Nadu, India",77.357056,10.746805,2008,RE Bundled,India
951,2372005,OUARZAZATE III CONCENTRATED SOLAR POWER PROJECT,-6.869181,31.017004,,Solar - Centralized,Morocco
952,2371778,Lahendong Unit 5 & Unit 6 Geothermal Project,124.796389,1.166102,,Geothermal,Indonesia
953,237137,Qixia Tangshanpeng Windfarm Project,120.883333,37.25,2005,Wind,China
954,237132,"9 MW Neria Hyrdroelectric project, Karnataka, India",75.38163,12.935333,2008,Hydropower,India
955,237139,6 MW RPPL biomass based power plant,80.586111,17.159722,2007,Biomass,India
956,237145,Enercon Bundled Wind power projects (2004 Policy) in Rajasthan,70.066667,26.775,2006,Wind,India
957,237146,PÃ´r do Sol Ceramic Fuel Switching Project,-51.863889,-21.365278,2007,Biomass,Brazil
958,2372000,K.R.S. THREE IN THAILAND,101.4626,15.381459,2018,Wind,Thailand
959,237149,Rongcheng Dongchudao Wind Farm,122.573889,37.045556,2007,Wind,China
960,237150,Inner Mongolia Wudaogou 50.25MW Wind Power Project,117.9,42.65,2007,Wind,China
961,237151,Yuyao Electricity Generation Project using Natural Gas,121.102222,30.067222,,,
962,237152,Ningxia Tianjing 50.25MW Wind-farm Project,105.841667,37.958333,2006,Wind,China
963,237153,"Rick husk based cogeneration plant (5 MW) at Shibzada Ajit Singh Nagar District, Punjab by M/s Nahar Industrial Enterprises limited.",76.366667,30.95,2004,Biomass,India
965,237156,Zhejiang Cixi Wind Farm Project,121.458889,30.269444,2008,Wind,China
966,237157,Zhejiang Qushan Wind Farm Project,122.266667,30.416667,2008,Wind,China
967,2371991,"WASTE HEAT RECOVERY-BASED POWER GENERATION PROJECTS BY HZL, IN INDIA",74.64,24.9585,,,
968,2371772,Solar and Wind Power Project by NTPC Limited,79.738889,15.911388,,Wind,India
969,237169,"Zhongfang County Pailou Hydro Project, China",109.912778,27.333611,2006,Hydropower,China
970,237170,"22.5 MW grid connected wind farm project by RSMMLin Jaisalmer,India",70.95,27.033333,2008,Wind,India
971,237171,Pingwu Renjiaba 12.6 MW Small Hydropower Project,104.5525,32.409167,2007,Hydropower,China
972,237172,"Yunnan Zemahe 15MW Small Hydropower Project, P. R. China",98.889167,26.781667,2007,Hydropower,China
973,237176,"Methane Capture, Power and Heat generation from Coal Mine Gas in the Concession HER-TEUTO",7.225088,51.538867,,,
976,2371989,Oualidia 1&2 Wind Projects.,-8.952496,32.755276,,Wind,Morocco
981,237186,Jintang 15.5MW Hydropower Project,108.916667,32.266667,,Hydropower,China
983,237191,4Ã—50 MW Dayingjiang- 3 Hydropower Project Phases 1&2,97.716667,24.470417,2006,Hydropower,China
984,2371990,"40MW Bundled Solar Project in Telangana, India",76.158085,15.921828,2017,Solar - Centralized,India
985,2371768,216 MWac Kamuthi Solar Power Project,78.385,9.358608,2016,Solar - Centralized,India
986,237754,Hubei Lichuan Longqiao Hydropower Station,108.71,29.94,2007,Hydropower,China
987,2371092,"Solar Power Project in Gujarat, India by WAA Solar Private Limited",71.418333,22.708333,2012,Solar - Centralized,India
988,237194,Yunnan Wunihe 30 MW Hydropower Project,98.683333,24.633333,,Hydropower,China
993,2371980,"24 MW Chayadevi Mini Hydro power project in Karnataka, India",76.756665,16.520554,,Hydropower,India
994,2371767,Bundled Solar Power Project by Mahindra Susten Private Limited,79.4825,15.873889,2016,Solar - Centralized,India
995,2371098,Anhui Suzhou 2X12.5 MW Biomass Power Generation Project,117.031667,33.588611,2008,Biomass,China
997,237268,2.5 MW WINDPOWERGENERATION PROJECT OF C.J.SHAH & CO,74.313056,21.183583,2009,Wind,India
998,237260,8.5 MW wind power project in Chitradurga district in Karnataka by Jindal Aluminium Ltd.,76.319444,14.006388,2007,Wind,India
999,237262,"6.5MW WHR Project in Huasheng Tianya Cement Co., Ltd.",109.014722,19.240833,,,
1000,237263,Natural Gas Based Grid Connected Power Generation Project at Valantharavai,78.955,9.36806,,,
1001,2371182,CGN Inner Mongolia Zhurihe Phase I Wind Farm Project,112.775,42.461111,2009,Wind,China
1002,237980,Kaiyuan Yemin 49.5 MW Wind Power Project,124,42.428,2011,Wind,China
1003,237253,Fuzhou Hongmiaoling Landfill  Gas to Electricity Project,119.3,26.0833,,,
1004,237269,6.25 MW Wind Power Generation project of Salora International Limited,74.323028,21.204167,2006,Wind,India
1005,237270,1.25 MW Wind Power Generation project of EIIL,75.789944,15.162056,,Wind,India
1007,237274,Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand,78.405556,30.930556,2006,Hydropower,India
1008,2371963,Tataouine Solar Photovoltaic Plant in Tunisia,10.273849,33.3779,,Solar - Centralized,Tunisia
1009,2371183,Xinjiang Jimunai CGN Phase I Wind Farm Project,86.0054,47.5454,2011,Wind,China
1012,237255,"7.2 MW Nargund wind project for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",75.375,15.725,2007,Wind,India
1013,237256,Mungcharoen Green Power - 9.9 MW Rice Husk Fired Power Plant Project,103.602833,14.873667,2007,Biomass,Thailand
1014,237257,42.5 MW Wind Power Project by VRL Logistics Ltd in Karnataka State (India),75.7548,15.216,2009,Wind,India
1015,237258,Shandong Penglai Pingdingshan Wind Farm Project,120.64666,37.735833,2009,Wind,China
1016,237236,Bundled Wind Power Project in Maharashtra and Gujarat by M/s. Rajmal Lakhichand,74.439444,21.608611,,Wind,India
1026,2371955,Jilin TongHua Biomass Power Project,126.018889,41.787776,,Biomass,China
1036,237368,Sulige Natural Gas based Power Generation Project,108.840278,38.602778,,,
1038,237238,"Mobuya Mini Hydro Power Plant 3 x 1000 kW North Sulawesi, Indonesia",124.407472,0.850583,2007,Hydropower,Indonesia
1039,237240,Wind Power Project in Maharashtra by Sri Kumarswamy Mineral Exports,74.589444,16.875278,,Wind,India
1040,237241,Longsheng Hydropower Station Project,101.624116,26.987166,2008,Hydropower,China
1041,237242,Santangou First and Second Grade Hydropower Stations Project,102.0025,27.015278,2008,Hydropower,China
1042,237244,"8.75 MW Bundled Wind Power Project in Kappatgudda, Karnataka (India)",75.822916,15.109583,2007,Wind,India
1043,237245,Bundled Grid Connected 2.9 M.W. Wind Power Project in India by Kamal Engineering Corporation [Unit of KEC Industries Ltd],77.587472,8.955083,2009,Wind,India
1044,2371460,Artvin Hydroelectric Power Plant,41.77026,40.933225,,Hydropower,Turkey
1045,237247,Fuel oil to animal tallow switching at Companhia de FiaÃ§Ã£o e Tecidos Santo AntÃ´nio,-44.900833,-17.301944,2006,Biomass,Brazil
1046,2372,LITL's Wind Power Project at Tamilnadu,77.733333,8.733333,2006,Wind,India
1047,2373,Liaoning Xingcheng Haibin Wind Farm Project,120.525,40.36,,Wind,China
1049,2376,HEILONGJIANG MULING DAIMAGOU WIND FARM PROJECT (PHASE 2) CHINA,130,44.566666,2008,Wind,China
1050,2377,HEILONGJIANG MULING DAIMAGOU WIND FARM PROJECT (PHASE 1) CHINA,130,44.56667,2008,Wind,China
1051,23711,"Waste heat power generation project at Hunan Anshi Xingyuan Power Generation Co., Ltd.",111.9675,27.736111,,,
1052,23712,Chuanwei Group 24 MW Waste Gas based Captive Power Plant,104.658492,29.545042,,,
1063,23727,Yunnan Heier 25MW Hydro Power Project,104.001159,24.026529,,Hydropower,China
1064,23728,Hubei Hefeng Yanzi Town Baishun Village Taohuashan Hydropower Station,110.238889,29.971111,2007,Hydropower,China
1065,2371951,HUANENG CHANGTU TAIPING WIND FARM PROJECT,123.54,42.55,,Wind,China
1066,23737,ISLWASTE HEAT RECOVERY PROJECT,83.494444,21.929167,,,
1067,23738,Energy Efficiency Project in the Ramla Cement Plant in Israel,34.866944,31.925278,,,
1068,23740,Yichun Erdouyan Wind Power Project,128.9917,46.78333,2007,Wind,China
1070,23742,Ratchaburi Farms Biogas Project at Nong Bua Farm,99.814566,13.429383,,,
1071,23755,Lucevans Ceramic Fuel Switching Project,-51.859261,-21.370975,2007,Biomass,Brazil
1072,2371753,Bundled Solar Photovoltaic Project by ACME,79.5,18.5,2017,Solar - Centralized,India
1073,23744,Jiratpattana Biogas Energy Project,103.512739,16.61695,,,
1074,23745,Zhoubai Hydroelectric Project,108.833083,29.501083,2006,Hydropower,China
1075,23746,Wahei Hydroelectric Project,103.380611,28.782222,2006,Hydropower,China
1076,23747,Jinan Landfill Gas to Energy Project,117.213764,36.906337,,,
1077,23748,Shandong Tuoji Island Wind Farm Project,121.066667,42.45,2007,Wind,China
1078,23749,Liaoning Huanren Niumaodashan Wind Power Project,125.111944,41.268611,2006,Wind,China
1080,23756,"Manasi River Stage I Hydropower Project of Hongshanzui Hydropower Plant, Xinjiang Tianfu Thermoelectric Co., Ltd.",85.95,43.966667,2006,Hydropower,China
1081,2371947,Inner Mongolia Wujier Phase I Wind Power Project,107.36083,40.19444,2016,Wind,China
1082,237974,"Sarbari II hydro power project by DSL Hydrowatt Limited in Kullu, Himachal Pradesh",77.056666,31.966935,2011,Hydropower,India
1083,23758,Pubu Hydropower Station Project,101.391067,27.072333,2008,Hydropower,China
1084,23760,IrmÃ£os Fredi Ceramic Fuel Switching Project,-52.146344,-21.782517,2006,Biomass,Brazil
1085,23762,Yunnan Dehong Longchuan Bienaihe 1st and 2nd Level Hydropower Stations,98.083611,24.594722,2006,Hydropower,China
1086,23753,Milenium Ceramic Switching Non Renewable Biomass Project,-48.874722,-10.159167,2007,Biomass,Brazil
1087,23765,Reunidas Ceramic Switching Non-Renewable Biomass Project,-49.1985,-10.603167,2007,Biomass,Brazil
1088,237275,"5MW Wind Mill Project of RBD by M/s. Rakesh Builders| Developers in Tirunelveli District, Tamil Nadu, India",77.736389,8.738056,2006,Wind,India
1089,237725,"Shibeishan Wind Power Generation Project in Huilai County, Guangdong Province",116.495467,22.959022,2006,Wind,China
1090,2371344,Murat HEPP,38.112169,37.614442,2012,Hydropower,Turkey
1091,23767,Ratchaburi Farms Biogas Project at SPM Farm,99.748467,13.356817,,,
1092,23768,"119.8 MW Natural Gas based Combined Cycle Power Plant, at Tanjavur, Tamilnadu by M/s Aban  Power Company Limited",79.525,11.125,,,
1093,23769,5.8 MW Wind Energy Generation by M/s Patspin India Limited,77.654833,8.324778,2008,Wind,India
1094,23771,Chengde Hongsong Windfarm Project,117.666667,42.583333,2005,Wind,China
1096,237749,Grid Connected Renewable Power Generation from Wind Mills by L.S Mills,77.446387,9.00472,2006,Wind,India
1100,237755,OTLUCA HPPs run-of-river hydro project,32.779395,36.303818,2011,Hydropower,Turkey
1101,237767,Wuhe Kaidi Biomass Power Project,117.495,32.905,2011,Biomass,China
1103,237772,3.75 MW Wind Energy by Mrs. Revathi Raju at Gadag District of Karnataka State,75.86861,15.200276,,Wind,India
1104,2371480,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",73.59675,18.896138,2011,Wind,India
1105,2371500,Reis Enerji Grouped HEPP Project,32.006677,41.249616,,Hydropower,Turkey
1106,237781,Installation of a biomass-fired boiler at Arbec Forest Products G.P. in PÃ©ribonka,-71.647511,48.74014,,Biomass,Canada
1107,237792,Tadi 16 MW Hydropower Project in Zhejiang Province,118.926944,28.981665,2008,Hydropower,China
1108,237793,China Resources Huilai XianÂ¡Â¯an Wind Power Project,116.477778,23.116667,2009,Wind,China
1109,237798,Guangdong Guanshan Wind Power Project,116.297222,23.080556,2010,Wind,China
1110,237806,YESIL HYDROELECTRIC POWER PLANT (HEPP),37.736387,40.156943,2012,Hydropower,Turkey
1111,237816,BATISOKE Soke Ã‡imento Sanayii T.A.S. 5.5 MW Cement WHR Project,27.433333,37.770277,,,
1112,237804,Datang Jilin Shuangliao Wind Farm Project,123.333331,43.333333,2007,Wind,China
1113,237821,13.95 MW grid connected wind electricity generation by SRF Limited,77.4805,9.016083,,Wind,India
1114,2371100,SANIBEY DAM AND HYDROELECTRIC POWER PLANT,35.43,37.4,2012,Hydropower,Turkey
1115,237830,Beijing Guanting Wind Power Project Phase II and Phase II addition,115.639,40.3378,2011,Wind,China
1116,237842,BUNDLED WIND POWER PROJECT IN RAJASTHAN BY FRIENDS GROUP,70.706472,27.186803,2012,Wind,India
1118,237849,Inner Mongolia Ximeng Zheligentu Wind Farm Phase I Project,115.492777,42.470832,2010,Wind,China
1119,237850,Inner Mongolia Jingneng Saihan Wind Farm Phase I Project,112.826909,42.573121,2010,Wind,China
1120,237855,3 MW wind farm project for Gupta Coalfields & Washeries Limited,77.763028,8.274276,2009,Wind,India
1121,2371231,"Mordogan Wind Power Project, Turkey",26.58,38.49,2016,Wind,Turkey
1122,237870,"Wind Power Project by M/s Chhotabhai Jethabhai Patel & Co. (CJP) at Sinnar, Maharashtra",73.922832,19.722999,2009,Wind,India
1123,237871,16.65 MW Bundled Wind Power Project in Tamilnadu,77.166694,8.954606,2006,Wind,India
1124,237880,Dak Pone Hydropower Project,108.305277,14.573332,2010,Hydropower,Vietnam
1125,237883,"Madushan Hydropower Project on Honghe River in Yunnan Province, China",103.28292,23.04553,2011,Hydropower,China
1126,237884,Nansha Hydro Power Project in Yunnan Province China,102.855823,23.229431,2009,Hydropower,China
1127,237885,"Biomass based power generation project in Maharashtra, India",79.958888,20.622776,2010,Biomass,India
1130,2371945,MSA-1 Hydropower Plant,-72.058681,-39.171686,2019,Hydropower,Chile
1131,2371742,Hydroelectric Project in Kinnaur District in Himachal Pradesh,78.1875,31.512778,2015,Hydropower,India
1133,2371313,Inner Mongolia Tongliao Wind Farm Project Phase IV,122.882492,44.249166,,Wind,China
1134,23773,"Mingying 3.75MW Hydro Power Project in Guizhou Province, China",107.711667,26.211389,2008,Hydropower,China
1135,23775,5.4 MW Grouped Wind Power Project in Gujarat & Maharashtra (India) by Rohan Builders (India) Pvt Ltd.,68.961722,23.011667,,Wind,India
1136,23789,Xinjiang Dabancheng Sanchang First Phase Wind Farm Project,87.85,43.516667,2006,Wind,China
1137,2371943,"20MW Samal Grid-connected Hydroelectric Project in Orissa, India",85.128606,21.078056,2014,Hydropower,India
1138,23778,NOBRECEL Biomass energy project,-45.39314,-22.90214,2002,Biomass,Brazil
1141,23781,SÃ£o Judas Tadeu Fuel Switching Project,-48.330583,-10.259447,2007,Biomass,Brazil
1142,23785,Shizibao Hydropower Station Project,101.379283,27.048566,2007,Hydropower,China
1143,23786,Xiangjian Hydropower Station Units 3 and 4 Project,101.345483,27.0515,2007,Hydropower,China
1144,23787,Xiangshuihe Hydropower Station Project,101.330666,27.084166,2007,Hydropower,China
1145,23788,Sanchawan 32MW Hydro Power Project,105.675,25.966667,2006,Hydropower,China
1146,2371936,WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER,-72.177888,11.525027,,Wind,Colombia
1148,23795,Heilongjiang Huafu Muling Wind Farm Project,130.916667,44.733333,2005,Wind,China
1149,23796,Shandong Yucheng Xinyuan Biomass Heat & Power,116.633333,36.933333,2006,Biomass,China
1150,23799,Saihanba East 45.05 MW Windfarm Project,117.666667,42.6,2006,Wind,China
1151,237100,Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd,74.195167,16.864442,,,
1152,237101,Bagasse based Co-generation Power Project at Khatauli,77.7,29.266667,2006,Biomass,India
1153,237102,6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited,77.44,29.28,2008,Biomass,India
1154,237103,RIMA Fuel Switch in BocaiÃºva,-43.807778,-17.601944,2006,Biomass,Brazil
1155,237104,Wood waste-to-energy project at Sawmill-25 (Arkhangelsk),40.816667,64.566667,2006,Biomass,Russia
1156,2371934,"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India",77.083055,31.416387,2012,Hydropower,India
1157,237106,"Taohua 9MW Hydro Power Project in Guizhou Province, China",107.686667,26.186667,2008,Hydropower,China
1159,237109,8.25 MW Bundled Wind Power Project,74.316667,20.983333,2005,Wind,India
1160,237110,Mani 14 MW Small Hydropower Project,103.343889,28.574722,2007,Hydropower,China
1161,237112,"Yunnan Nameguo, Faguo Hydropower stations",103.545,23.1205,2007,Hydropower,China
1162,237114,"7.2 MW Wind Project at Chitradurga, Karnataka",76.333333,14.083333,2005,Wind,India
1166,2371736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,103.722778,1.287767,,,
1167,237566,10 MW Wind Power Project in Maharashtra by Deepak Fertilizers and Petrochemicals Corporation Limited,74.377109,21.227164,2009,Wind,India
1168,237121,Saihanba North 45.05 MW Windfarm Project,117.675,42.633333,2006,Wind,China
1169,237124,Gansu Yumen Sanshilijingzi Wind Power Project,96.9125,48.136944,2008,Wind,China
1171,237117,"Waste heat recovery based power plant at Hindustan Zinc Limited, Chanderia",74.666667,24.833333,,,
1172,237119,Changtan Hydro Power Project in Guizhou Province,108.3025,27.728056,2006,Hydropower,China
1174,237279,Pingyuan Tongli WHR Project,113.932611,35.436333,,,
1175,237280,Yulong Tongli WHR Project,114.04,32.782778,,,
1177,237283,"Azhu Hydro Power Project in Guizhou Province, China",105.463056,26.333889,2008,Hydropower,China
1178,237285,Rice husk based Co generation project at Dujana unit of KRBL Limited,77.466667,28.666667,,Biomass,India
1179,237287,Susbtitution of coal with jute biomass residue (caddies) in the steam generating boiler for use onsite.,88.4,22.533333,2001,Biomass,India
1180,237341,UniÃ£o and Dois Companheiros fuel switching project,-51.846342,-21.303409,2006,Biomass,Brazil
1182,237294,Jiangsu Rudong Lingyang Wind Power Project,120.9,32.783333,2007,Wind,China
1183,237295,Erbaqu Small Hydropower Project  in Gansu Province,102.011115,38.146667,2007,Hydropower,China
1184,237296,Energy from renewables,74.342389,21.329111,2006,RE Bundled,India
1185,237297,"Generation of Electricity from 3.2 MW Capacity Wind Mills by Gujarat JHM Hotels Ltd at Bhambarwadi, Maharashtra",73.965,17.190556,,Wind,India
1186,237298,"Aryan Coal 15 MW Wind Project in Maharashtra, India",74.906611,17.169556,2006,Wind,India
1187,237299,"Positive Climate Care 2.5 MW Grid connected Wind Power Project Activity by Ms. Aishwarya Rai in Jaisalmer, Rajasthan, India",70.87075,26.715444,2006,Wind,India
1188,237300,"Positive Climate Care 2.5 MW Grid connected Wind Power Project Activity by Ms. Aishwarya Rai in the state of Maharashtra, India",74.344417,21.334028,2006,Wind,India
1189,2371914,150 MW Solar Project in Karnataka by Avaada Solar,77.405556,14.309167,2019,Solar - Centralized,India
1190,2371735,Negros Island Solar Power Inc.,122.934167,10.418889,2016,Solar - Centralized,Philippines
1191,237302,"Positive Climate Care 2.5 MW Wind Power Project Activity by Rajesh Construction Company Limited in Chitradurga, Karnataka, India.",76.433333,14.15,2006,Wind,India
1192,237289,"25.6 MW grid connected Wind Power based electricity generation project in Karnataka, India",75.576667,15.318056,2009,Wind,India
1193,237305,4.5 MW bundled wind power project,77.450528,8.985361,2008,Wind,India
1194,237306,"8.5 MW Wind Energy Project by KS Oils Limited, India",76.078111,22.894639,2009,Wind,India
1196,237313,"Macaohe 9.8MW  hydro power project in Guizhou Province, China",109.233333,27.866667,2008,Hydropower,China
1197,237315,"8.75 MW Bundled Wind Power Project in Maharashtra, India.",74.730222,17.175056,2007,Wind,India
1198,237386,La Cascada 2.3 MW Hydroelectric Project,-74.917556,6.510417,2007,Hydropower,Colombia
1199,237954,Kepezkaya Hydroelectric Power Plant Project,32.95389,36.953046,2010,Hydropower,Turkey
1200,237325,Lugouhe Hydropower Station Project,103.505556,29.249444,2007,Hydropower,China
1201,237326,Jinti Hydropower Station Project,103.143333,29.037222,2007,Hydropower,China
1202,237327,Guosheng Hydropower Station Project,101.51465,27.15535,2008,Hydropower,China
1203,237328,Huangjueshu Hydropower Station Project,101.402567,27.087,2008,Hydropower,China
1204,237329,"Nova Dutra, SÃ£o Silvestre and Vila Nova Fuel Switching Project",-44.023333,-22.577778,2006,Biomass,Brazil
1205,237330,"Wutuhe Erji hydro power project in Guizhou Province, China",104.941944,26.091667,2008,Hydropower,China
1206,237319,CGN Gansu Anxi Daliang 49.5MW Wind Power Project,95.596944,40.664722,2008,Wind,China
1208,2371904,Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited,77.984832,8.980831,2018,Wind,India
1209,237620,LKPPL Fuel Switch Project for Generation of Cleaner Power,80.647345,16.509718,,,
1210,237322,Lara Ceramic fuel switching project,-45.026944,-22.675556,2006,Biomass,Brazil
1211,237323,Panorama Ceramic Fuel Switching Project,-51.895833,-21.388056,2006,Biomass,Brazil
1212,237333,Yunnan Dujiacun Small  Hydropower Project,102.733333,25.866667,2007,Hydropower,China
1213,237334,"Methane Recovery Project Cleanergy Wanroij, North Brabant, The Netherlands,",5.849167,51.651666,,,
1214,237335,"Methane Recovery Project Aben, Wanroij, North Brabant, The Netherlands",5.825,51.669444,,,
1215,237336,"Methane Recovery Project Houbensteyn Ysselsteyn, Limburg, The Netherlands",5.9075,51.493333,,,
1216,237342,Hsikou Hydro Power Project,120.448747,23.231442,2009,Hydropower,Taiwan
1217,237486,"50 MW Sipansihaporas Hydro Power Plant, North Sumatra",98.85,1.733333,2009,Hydropower,Indonesia
1218,237348,"6 MW Biomass based power project, Nellore District, Andhra Pradesh, India.",79.7225,14.375833,,Biomass,India
1219,237349,"8.35 MW Wind Power Project at Guddarangavana Halli, District Chitradurga, State Karnataka, India.",76.394167,14.301111,2006,Wind,India
1221,237351,"Bundled grid-connected wind electricity generation project identified as Bundle E5 in Maharashtra and Tamil Nadu, India",74.282917,21.188417,2006,Wind,India
1223,237346,Wind power project by GFL in Gudhepanchgani,73.983333,17.116667,2007,Wind,India
1224,237357,"7.50 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India",77.375694,9.027361,2007,Wind,India
1225,237358,"8.92 MW Bundled grid-connected wind electricity generation project in Erode and Coimbatore districts of Tamil Nadu, India",77.350083,10.705944,2006,Wind,India
1227,237359,"9.20 MW Bundled Grid-Connected wind electricity generation project in Tamil Nadu, India",77.513278,8.968667,2006,Wind,India
1228,237362,"Grid-connected wind electricity generation project identified as Project E6 in Maharashtra, India",74.388861,21.173472,2006,Wind,India
1229,237363,Caldere Hydro Power Plant Project,29.25,36.908333,2008,Hydropower,Turkey
1230,237364,Bundled 15 MW Wind Power Project in India,76.26,14.14,2005,Wind,India
1231,237374,"Capacity enhancement for export of surplus power to  grid at Lakshmipuram, Andhra Pradesh, India",82.416667,18.383333,2006,Biomass,India
1232,237375,"GEPL Biomass energy generation project at Faridabad, Haryana",77.3,28.42,2006,Biomass,India
1233,237376,"Positive Climate Care 8.25 MW Bundled Wind Power Project Activity by Savita Oil Technologies Limited in Hassan, Karnataka, India.",76.047378,13.110564,2008,Wind,India
1234,2371898,50 MW Tsetsii Wind Farm in Mongolia,105.580556,43.551389,2017,Wind,Mongolia
1235,237378,CGN Jilin Daan 49.5MW Wind Power Project,123.583,44.27275,2008,Wind,China
1236,237379,7.85 MW Bundled Wind Power Project in Southern India,76.26,14.14,2005,Wind,India
1238,237366,Kaona Power Supply Biomass Cogeneration Project,102.02,15.126,,Biomass,Thailand
1240,237371,Guangdong Lankou 26MW Hydro Power Project,115.045556,23.932222,2007,Hydropower,China
1241,237372,"13.21 MW Bundled grid-connected wind electricity generation project in Coimbatore and Erode districts of Tamil Nadu, India",77.141667,10.886111,2006,Wind,India
1242,237385,Saldanha Small Hydroelectric Project,-62.177222,-11.985833,2007,Hydropower,Brazil
1243,237387,Electricity generation by utilization of waste heat from calcined petroleum coke production process,83.333333,17.7,,,
1244,237388,Fuel Switch to Renewable Biomass for Thermal Use at MAG Commercial Greenhouse Facility,-89.114277,41.173074,2010,Biomass,United States
1245,2371893,"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India",75.674722,12.841388,2014,Hydropower,India
1246,237394,Hebei Chongli Qingsanying 49.3MW Wind Farm Project,115.397222,41.247111,2009,Wind,China
1247,237397,0.6 MW Wind Power Generation project of Dodhia Synthetics Limited,74.8995,17.112222,,Wind,India
1248,237398,Heilongjiang Huanan Hengdaishan West Wind Power Project,130.165966,46.283967,2008,Wind,China
1249,237399,Heilongjiang Huanan Hengdaishan East Wind Power Project,130.165966,46.283967,2007,Wind,China
1250,237406,"Generation of power from process waste heat at Hi-Tech Carbon, Tamil Nadu",80.100556,13.416944,,,
1254,237579,"Biomass based power project at T-Kallupatti village, Madurai District, Tamil Nadu, India",77.794472,9.660061,,Biomass,India
1255,2371288,Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-I,71.11068,21.5646,,Wind,India
1257,237570,Guangdong Chaonan Chengtian Wind Power project,116.430431,23.101453,2010,Wind,China
1258,237571,e7 Galapagos / San Cristobal Wind Power Project,-89.499722,-0.891666,2008,Wind,Ecuador
1260,237574,Guangdong Chaonan Shalong Wind Power Project,116.480556,23.108333,2009,Wind,China
1262,237622,"Bundled Wind Power Project in Tirunelveli, Tamil Nadu",77.418517,8.883342,2008,Wind,India
1263,237588,Yantai Dongyuan Laizhou 48.5 MW Wind Farm Project Phase I,119.629165,37.111111,2008,Wind,China
1264,237593,Wind Power Project by Priyadarshini Polysacks Ltd. in Maharashtra,73.988527,17.090386,2007,Wind,India
1265,237600,Yeong Yang 61.5 MW Wind Farm Project,129.245,36.561389,2009,Wind,South Korea
1266,237601,"2.50 MW Wind Project at Kappadagudda, Gadag District, Karnataka",75.796472,15.158139,2008,Wind,India
1267,237582,Yaylabel 5.2 MW Hydro Power Plant,31.266666,37.533332,,Hydropower,Turkey
1268,237583,Yazi 1.13 MW HEPP,32.94444,40.568333,,Hydropower,Turkey
1269,237584,2.5 MW Rice husk based cogeneration plant at Hanuman Agro Industries Limited,81.88472,20.962775,2006,Biomass,India
1271,2371336,Oylat Hydroelectric Power Plant,29.59,39.94,,Hydropower,Turkey
1272,237609,Fuhui Inner Mongolia Tugurige Wind Farm Project,107.666667,42.25,2008,Wind,China
1273,237611,"12.5 MW wind power project in Maharashtra, India by KRBL Limited",74.404944,21.213139,2007,Wind,India
1274,237615,8.5 MW Bundled wind power project in India,77.645303,8.337555,,Wind,India
1275,237617,"Electricity generation through wind power project at Jodhpur, Rajasthan",72.863219,26.423555,2010,Wind,India
1276,237625,21.05 MW bundled wind energy project in Maharashtra aggregated by Resurge Energy Private Limited,74.449095,21.173442,2006,Wind,India
1277,237626,"24.75 MW Ranganathaswamy Mini Hydel Project, Karnataka, India",77.17,12.269166,2008,Hydropower,India
1278,237627,Heilongjiang Wangkui 50MW Level Biomass Cogeneration Project,126.483611,46.999167,2007,Biomass,China
1279,2371352,"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA V1A)",76.65,11.728331,2008,Wind,India
1280,237472,"The Wulabo 30 MW Wind-Farm Project in Urumqi, Xinjiang of China",87.795,43.569722,2007,Wind,China
1282,237636,8MW biomass based power plant at Phagwara,75.76,31.219719,,Biomass,India
1283,237639,15 MW Grid Connected renewable energy generation by RSMML,70.871807,26.767747,2007,RE Bundled,India
1284,237649,25.3MW WHR Project of Zhejiang Leomax Group,119.3,29.5,,,
1286,237652,Anhui Rice Husk Based Thermal Energy Generation Project,118.317205,31.398958,,Biomass,China
